CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
campaigning_city_class_desc;By definition, cities consist of very large numbers of people living in a relatively small amount of space. Some of these people have a good deal of money, but many people, and in some cities most people, have very little money. Cities must provide many kinds of services for all their residents, and certain additional services for their poorer residents. These basic facts of city life make for common sets of problems affecting cities throughout the nation, albeit to varying degrees, with some cities less able than others to address these problems. We shall talk a lot about this during the campaign.;;;;;;;;;;X;;;;;;;
campaigning_rural_class_title;Campaign for Rural Interests;;;;;;;;;;X;;;;;;;
campaigning_rural_class_desc;In general, a rural area or countryside is a geographic area that is located outside towns and cities. The Health Resources and Services Administration of the U.S. Department of Health and Human Services defines the word rural as encompassing "...all population, housing, and territory not included within an urban area. Whatever is not urban is considered rural". Typical rural areas have a low population density and small settlements. Agricultural areas are commonly rural, as are other types of areas such as forests. Different countries have varying definitions of rural for statistical and administrative purposes.;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_rich_title;Court the Upper Class;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_rich_desc;The upper class in modern societies is the social class composed of people who hold the highest social status, usually are the wealthiest members of class society, and wield the greatest political power. According to this view, the upper class is generally distinguished by immense wealth which is passed on from generation to generation.;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_middle_title;Court the Middle Class;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_middle_desc;The middle class is a class of people in the middle of a social hierarchy. Its usage has often been vague whether defined in terms of occupation, income, education or social status. The definition by any author is often chosen for political connotations. Writers on the left favor the lower-status "working class".;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_poor_title;Court the Lower Class;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_poor_desc;The working class (or labouring class) comprises those engaged in waged or salaried labour, especially in manual-labour occupations and industrial work. Members of the working class rely exclusively upon earnings from wage labour, thus, according to more inclusive definitions, the category can include almost all of the working population of industrialised economies, as well as those employed in the urban areas (cities, towns, villages) of non-industrialised economies or in the rural workforce.;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_reformists_title;Court the $COUNTRY_ADJ$ Party Reformists;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_reformists_desc;There are certain sections in the $COUNTRY_ADJ$ Government who advocate for political reform of our authoritarian system. We can choose to promote some of these reformists to more senior positions in the government in order to help with any liberalisation plans the $MONARCHTITLE$ may have.;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_hardliners_title;Court the $COUNTRY_ADJ$ Party Hardliners;;;;;;;;;;X;;;;;;;
campaigning_dictatorship_hardliners_desc;There are certain sections in the $COUNTRY_ADJ$ Government who advocate for the continued rule of our totalitarian system. Promoting more of these people to senior civil servants, generals and ministers will help insulate the $COUNTRY_ADJ$ parliament from the more reformist minded individuals who may threaten the status quo.;;;;;;;;;;X;;;;;;;
campaigning_primary_culture_title;Campaign for $COUNTRY_ADJ$ Racial Supremacy;;;;;;;;;;X;;;;;;;
campaigning_primary_culture_desc;Supremacism is the belief that a certain group of people is superior to all others. Such a campaign will be extremely controversial and frowned upon by the international community.;;;;;;;;;;X;;;;;;;
campaigning_minority_culture_title;Campaign for Racial Equality;;;;;;;;;;X;;;;;;;
campaigning_minority_culture_desc;We shall celebrate the diverse communities that exist in $COUNTRY$ and promote their continued freedom to live like any other $COUNTRY_ADJ$ citizen. The international community will be pleased.;;;;;;;;;;X;;;;;;;
campaigning_national_religion_title;Campaign for the National Religion;;;;;;;;;;X;;;;;;;
campaigning_national_religion_desc;We shall focus on the national religion of $COUNTRY$ in the hopes of getting a divine wave of support from the people. The international community of secular states will not be pleased with our aims of creating a de-secularised state.;;;;;;;;;;X;;;;;;;
campaigning_secularism_title;Campaign for Secularism;;;;;;;;;;X;;;;;;;
campaigning_secularism_desc;Secularism may refer to any worldview or principle which defines the secular at a given context, and prioritises, justifies or promotes it over the non-secular. "Secularism" has a broad range of meaning. While its definition as the separation of religion from civic affairs and the state is the most common, it may connote anticlericalism, atheism, naturalism, banishment of religious symbols from the public sphere and much more.;;;;;;;;;;X;;;;;;;
