CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
joiniss_title;Join the International Space Station Program;;;;;;;;x;;;;;;;;;;;;;
joiniss_desc;The International Space Station (ISS) is a space station, or a habitable artificial satellite, in low Earth orbit. Its first component launched into orbit in 1998, and the ISS is now the largest artificial body in orbit and can often be seen with the naked eye from Earth. The ISS consists of pressurised modules, external trusses, solar arrays, and other components. ISS components have been launched by Russian Proton and Soyuz rockets, and American Space Shuttles. The ISS serves as a microgravity and space environment research laboratory in which crew members conduct experiments in biology, human biology, physics, astronomy, meteorology, and other fields. The station is suited for the testing of spacecraft systems and equipment required for missions to the Moon and Mars. The ISS maintains an orbit with an altitude of between 330 and 435 km (205 and 270 mi) by means of reboost manoeuvres using the engines of the Zvezda module or visiting spacecraft. It completes 15.54 orbits per day.;;;;;;;;x;;;;;;;;;;;;;
space_rocket_attempt_public_title;Attempt a Rocket Launch;;;;;;;;x;;;;;;;;;;;;;
space_rocket_attempt_public_desc;Our scientists and engineers have created a prototype rocket. We need to launch it to ensure that it works.;;;;;;;;x;;;;;;;;;;;;;
space_rocket_attempt_private_title;Attempt a Space Rocket Launch;;;;;;;;x;;;;;;;;;;;;;
space_rocket_attempt_private_desc;Our scientists and engineers have created a prototype rocket. We need to launch it to ensure that it works.;;;;;;;;x;;;;;;;;;;;;;
space_satellite_attempt_public_title;Attempt to send a satellite into space;;;;;;;;x;;;;;;;;;;;;;
space_satellite_attempt_public_desc;Our scientists and engineers have created a prototype satellite. We need to launch it to ensure that it works.;;;;;;;;x;;;;;;;;;;;;;
space_satellite_attempt_private_title;Attempt to send a satellite into space;;;;;;;;x;;;;;;;;;;;;;
space_satellite_attempt_private_desc;Our scientists and engineers have created a prototype satellite. We need to launch it to ensure that it works.;;;;;;;;x;;;;;;;;;;;;;
space_probe_attempt_public_title;Attempt to send a probe into space;;;;;;;;x;;;;;;;;;;;;;
space_probe_attempt_public_desc;Our scientists and engineers have created a prototype space exploration probe. We need to launch it to ensure that it works.;;;;;;;;x;;;;;;;;;;;;;
space_probe_attempt_private_title;Attempt to send a probe into space;;;;;;;;x;;;;;;;;;;;;;
space_probe_attempt_private_desc;Our scientists and engineers have created a prototype space exploration probe. We need to launch it to ensure that it works.;;;;;;;;x;;;;;;;;;;;;;
space_man_attempt_public_title;Attempt to send an Astronaut into space;;;;;;;;x;;;;;;;;;;;;;
space_man_attempt_public_desc;Our scientists and engineers have trained astronauts to be sent into space. We need to launch a rocket with the astronauts to send our men into space.;;;;;;;;x;;;;;;;;;;;;;
space_man_attempt_private_title;Attempt to send a probe into space;;;;;;;;x;;;;;;;;;;;;;
space_man_attempt_private_desc;Our scientists and engineers have trained astronauts to be sent into space. We need to launch a rocket with the astronauts to send our men into space.;;;;;;;;x;;;;;;;;;;;;;
space_station_attempt_public_title;Attempt to establish a Space Station in space;;;;;;;;x;;;;;;;;;;;;;
space_station_attempt_public_desc;Our scientists and engineers have created a prototype Space Station to be sent into space. We need to launch a rocket with the Space Station to establish in orbit.;;;;;;;;x;;;;;;;;;;;;;
space_station_attempt_private_title;Attempt to establish a Space Station in space;;;;;;;;x;;;;;;;;;;;;;
space_station_attempt_private_desc;Our scientists and engineers have created a prototype Space Station to be sent into space. We need to launch a rocket with the Space Station to establish in orbit.;;;;;;;;x;;;;;;;;;;;;;
moon_mission_attempt_public_title;Attempt to send a man to the Moon;;;;;;;;x;;;;;;;;;;;;;
moon_mission_attempt_public_desc;Our Space Agency has formulated and set up a mission that can bring our astronaauts to the moon. All we need to do is to grant them a launch to send the astronauts on their way to the moon.;;;;;;;;x;;;;;;;;;;;;;
moon_mission_attempt_private_title;Attempt to send a man to the Moon;;;;;;;;x;;;;;;;;;;;;;
moon_mission_attempt_private_desc;Our Space Agency has formulated and set up a mission that can bring our astronaauts to the moon. All we need to do is to grant them a launch to send the astronauts on their way to the moon.;;;;;;;;x;;;;;;;;;;;;;
mars_mission_attempt_public_title;Attempt to send a man to Mars;;;;;;;;x;;;;;;;;;;;;;
mars_mission_attempt_public_desc;Our Space Agency has formulated and set up a mission that can bring our astronaauts to Mars. All we need to do is to grant them a launch to send the astronauts on their way to the Mars.;;;;;;;;x;;;;;;;;;;;;;
mars_mission_attempt_private_title;Attempt to send a man to Mars;;;;;;;;x;;;;;;;;;;;;;
mars_mission_attempt_private_desc;Our Space Agency has formulated and set up a mission that can bring our astronaauts to the moon. All we need to do is to grant them a launch to send the astronauts on their way to Mars.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1400068;The assembly of the International Space Station, a major endeavour in space architecture, began in November 1998. Russian modules launched and docked robotically, with the exception of Rassvet. All other modules were delivered by the Space Shuttle, which required installation by ISS and shuttle crewmembers using the Canadarm2 (SSRMS) and EVAs, as of 5 June 2011, they had added 159 components during more than 1,000 hours of EVA. 127 of these spacewalks originated from the station, and the remaining 32 were launched from the airlocks of docked Space Shuttles. The beta angle of the station had to be considered at all times during construction, as the station's beta angle is directly related to the percentage of its orbit that the station (as well as any docked or docking spacecraft) is exposed to the sun; the Space Shuttle would not perform optimally above a limit called the "beta cutoff". Many of the modules that launched on the Space Shuttle were integrated and tested on the ground at the Space Station Processing Facility to find and correct issues prior to launch.;;;;;;;;x;;;;;;;;;;;;;
