graphical_culture = EuropeanGC
		Musala Ruy Belasica "Vrah Botev" Bilo
	}
	modern_destroyer = {
		Krum "Ivan Aleksandar" Levski Botev Aleksandrov
	}
	destroyer = {
		"Lyuben Karavelov" "Stoykov Rakovski" "Panayot Hitov" Karavelo "Stefan Karadzha"
	}
	submarine = {
		Konstantinov Dalchev Debelyanov Voykikov Vazov
	}

}
