graphical_culture = Generic
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1970.1.11
		end_date = 2092.1.1
}
party = {
		name = "Clann na Poblachta"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1965.1.1
}
party = {
		name = "Republican Socialist Party"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = progressive
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1965.1.1
		end_date = 1981.1.1
}
party = {
		name = "Ecology Party of Ireland"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1981.1.1
		end_date = 1983.1.1
}
party = {
		name = "Green Alliance"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1983.1.1
		end_date = 1987.1.1
}
party = {
		name = "Green Party - Comhaontas Glas"
		citizenship_policy = full_citizenship
		economic_policy = interventionism
		ideology = progressive
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1987.1.1
		end_date = 2092.1.1
}
party = {
		name = "Ailtiri na hAiseirghe"
		citizenship_policy = residency
		economic_policy = state_capitalism
		ideology = populist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1836.1.1
		end_date = 1997.1.1
}
party = {
		name = "Immigration Control Platform"
		citizenship_policy = residency
		economic_policy = interventionism
		ideology = populist
		religious_policy = secularized
		trade_policy = free_trade
		war_policy = pacifism
		start_date = 1997.1.1
		end_date = 2019.1.28
}
party = {
		name = "Aontu"
		citizenship_policy = residency
		economic_policy = laissez_faire
		ideology = populist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 2019.1.28
		end_date = 2100.1.1
}
party = {
		name = "Poblacht Chriostuil"
		citizenship_policy = limited_citizenship
		economic_policy = planned_economy
		ideology = traditionalist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1836.1.1
		end_date = 1991.1.1
}
party = {
		name = "Christian Principles Party"
		citizenship_policy = limited_citizenship
		economic_policy = planned_economy1
		ideology = traditionalist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1991.1.1
		end_date = 1994.1.1
}
party = {
		name = "Christian Solidarity Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = traditionalist
		religious_policy = moralism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1994.1.1
		end_date = 2092.1.1
}
party = {
		name = "Irish Workers' League"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1836.1.1
		end_date = 1962.1.1
}
party = {
		name = "Irish Workers' Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1962.1.1
		end_date = 1970.1.1
}
party = {
		name = "Communist Party of Ireland"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = pro_atheism
		trade_policy = protectionism
		war_policy = pro_military
		start_date = 1970.1.1
		end_date = 2092.1.1
}
party = {
		name = "Official Sinn Fein"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1970.1.11
		end_date = 1976.1.1
}
party = {
		name = "Sinn Fein – The Workers' Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1976.1.1
		end_date = 1982.1.1
}
party = {
		name = "The Workers' Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy
		ideology = communist
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = jingoism
		start_date = 1982.1.1
		end_date = 2092.1.1
}
party = {
		name = "Irish Workers' League"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = communist_social
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1836.1.1
		end_date = 1962.1.1
}
party = {
		name = "Irish Workers' Party"
		citizenship_policy = full_citizenship
		economic_policy = planned_economy1
		ideology = communist_social
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1962.1.1
		end_date = 1970.1.1
}
party = {
		name = "CPI - Eurocommunists"
		citizenship_policy = full_citizenship
		economic_policy = state_capitalism
		ideology = communist_social
		religious_policy = secularized
		trade_policy = protectionism
		war_policy = pacifism
		start_date = 1970.1.1
		end_date = 2092.1.1
}
unit_names = {
	carrier = {
		"LE Douglas Hyde" "LE Sean O Kelly" "LE Eamon de Valera" "LE Erskine Hamilton Childers" "LE Cearbhall O Dalaigh" "LE Patrick Hillery" "LE Mary Robinson"
	}
	transportship = {
		"LE Parnell" "LE Dwyn" "LE Caswallawn" "LE Culhwch" "LE Mairead" "LE Dewi" "LE Efnysien" "LE Cyhyraeth"
	}
	modern_frigate = {
		"LE Orla" "LE Ciara" "LE Eithne" "LE Roisin" "LE Niamh" "LE Macha" "LE Maev"
	}
	cruiser = {
		"LE Cliona" "LE Setanta" "LE Ferdia" "LE Grainne" "LE Banba" "LE Badb" "LE Aibell"
	}
	modern_cruiser = {
		"LE WT Cosgrave" "LE Eamon de Valera" "LE John A Costello" "LE Sean Lemass" "LE Jack Lynch" "LE Liam Cosgrave" "LE Jack Lynch" "LE Charles Haughey"
	}
	frigate = {
		"LE Samuel Beckett" "LE James Joyce" "LE William Butler Yeats" "LE George Bernard Shaw" "LE Patrick Kavanagh" "LE Sean O Riordain" "LE Oscar Wilde"
	}
	modern_destroyer = {
		"LE Douglas Hyde" "LE Sean O Kelly" "LE Eamon de Valera" "LE Erskine Hamilton Childers" "LE Cearbhall O Dalaigh" "LE Patrick Hillery" "LE Mary Robinson"
	}
	destroyer = {
		"LE Fola" "LE Deirdre" "LE Emer" "LE Aoife" "LE Aisling" "LE Morrigan" "Le Brigid"
	}
	submarine = {
		"LE Sean ac Dhonncha" "LE Edward Mulhare" "LE Sean O Siochain" "LE Maire Ni Ghuairim" "LE Eithne Ni Uallachain" "LE Dolores O Riordan" "LE Eithne Ni Bhraonain" "LE Christie Hennessy"
	}
	patrolboat = {
		"LE Aine" "LE Eriu" "LE Epona" "LE Cigfa" "LE Elen" "LE Penarddun" "LE Modron" "LE Branwen"
	}
}
