#id;name;owner;core,;population;culturex%,;administrative division;trade_goods;life_rating;continent,,,,,,,,,,,,,,,,,,,,,,,,,,
2348;Buenos Aires;ARG;ARG;12741;white_spanish 90%, italian 5%, german 1%," Jewish 4%;Buenos Aires;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,
"2349;Junin;ARG;ARG;800;white_spanish 100%;Buenos Aires;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2350;Azul;ARG;ARG;800;white_spanish 100%;Buenos Aires;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2351;La Plata;ARG;ARG;894;white_spanish 100%;Buenos Aires;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2352;Mar del Plata;ARG;ARG;800;white_spanish 100%;Buenos Aires;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2353;Trenque Lanquen;ARG;ARG;800;white_spanish 100%;Buenos Aires;grain;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2354;Bahia Blanca;ARG;ARG;850;white_spanish 100%;Buenos Aires;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2355;Carmen;ARG;ARG;800;white_spanish 100%;Buenos Aires;oil_seeds;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2356;Corrientes;ARG;ARG;593;white_spanish 100%;Corrientes;cattle;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2357;Curuzu Cuatia;ARG;ARG;200;white_spanish 100%;Corrientes;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2358;Santo Tomas;ARG;ARG;200;white_spanish 100%;Corrientes;fruit;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2359;Colon;ARG;ARG;236;white_spanish 100%;Entre Ríos;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2360;Parana;ARG;ARG;1000;white_spanish 100%;Entre Ríos;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2361;Santa Espiritu;ARG;ARG;500;white_spanish 100%;Santa Fe;grain;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2362;Reconquista;ARG;ARG;500;white_spanish 100%;Santa Fe;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2363;Rosario;ARG;ARG;2200;white_spanish 100%;Santa Fe;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2364;Resistencia;ARG;ARG;800;white_spanish 100%;Chaco;oil_seeds;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2365;Villa Angela;ARG;ARG;254;white_spanish 100%;Chaco;oil_seeds;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366;Formosa;ARG;ARG;300;white_spanish 70%," mestizo 30%;Formosa;oil_seeds;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2367;Xolotas;ARG;ARG;127;white_spanish 36%," mestizo 64%;Formosa;oil_seeds;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2368;Salta;ARG;ARG;1000;mestizo 30%," white_spanish 70%;Salta;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2369;Jujuy;ARG;ARG;500;mestizo 60%," white_spanish 40%;Jujuy;wool;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2370;Cochinoca;ARG;ARG;172;mestizo 80%," white_spanish 20%;Jujuy;wool;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2371;Equia;ARG;ARG;115;mestizo 80%," white_spanish 20%;Salta;gold_silver;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2372;Rivadavia;ARG;ARG;100;mestizo 80%," white_spanish 20%;Salta;cattle;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2373;Tucuman;ARG;ARG;1448;white_spanish 100%;Tucuman;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2374;Catamarca;ARG;ARG;267;white_spanish 100%;Catamarca;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2375;Vinchina;ARG;ARG;100;white_spanish 100%;Catamarca;bauxite;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2376;Santiago del Estero;ARG;ARG;500;white_spanish 100%;Santiago del Estero;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2377;Anatuya;ARG;ARG;196;white_spanish 100%;Santiago del Estero;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2378;Mailin;ARG;ARG;200;white_spanish 100%;Santiago del Estero;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2379;Cordoba de Argentina;ARG;ARG;2900;white_spanish 100%;Cordoba;grain;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2380;Villa Nueva;ARG;ARG;100;white_spanish 100%;Cordoba;grain;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2381;Rio Cuarto;ARG;ARG;100;white_spanish 100%;Cordoba;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2382;Renanco;ARG;ARG;100;white_spanish 100%;Cordoba;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2383;San Luis;ARG;ARG;331;white_spanish 100%;San Luis;grain;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2384;Mercedes;ARG;ARG;100;white_spanish 100%;San Luis;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2385;La Rioja;ARG;ARG;231;white_spanish 100%;La Rioja;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2386;Santa Rita;ARG;ARG;100;white_spanish 100%;La Rioja;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2387;San Juan;ARG;ARG;300;white_spanish 100%;San Juan;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2388;Calingasta;ARG;ARG;180;white_spanish 100%;San Juan;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2389;Mendoza;ARG;ARG;1000;white_spanish 90%," mestizo 10%;Mendoza;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2390;San Rafael;ARG;ARG;741;white_spanish 100%;Mendoza;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2391;Neuquen;ARG;ARG;550;white_spanish 100%;Neuquen;cattle;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2392;Viedma;ARG;ARG;500;white_spanish 100%;Río Negro;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2393;Telen;ARG;ARG;166;white_spanish 100%;La Pampa;wool;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2394;Bariloche;ARG;ARG;133;white_spanish 100%;Río Negro;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2395;Curaco;ARG;ARG;150;white_spanish 100%;La Pampa;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2396;Rawson;ARG;ARG;350;white_spanish 100%;Chubut;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2397;Esquel;ARG;ARG;156;white_spanish 100%;Chubut;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2398;Puerto Deseado;ARG;ARG;150;white_spanish 100%;Santa Cruz;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2399;Rio Gallegos;ARG;ARG;122;white_spanish 100%;Santa Cruz;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2400;Rio Grande;ARG;ARG;126;white_spanish 100%;Tierra del Fuego;wool;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2554;Posadas;ARG;ARG;1097;white_spanish 100%;Misiones;cattle;30;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Argentina;ARG;;0;white_spanish 93.7%, mestizo 3%, sunni_arab 1%, chinese 1%, Jewish 1.3%;39676;;;,,,,,,,,,,,,,,,,,,,,,,,,
1098;Erivan;RUS;ARM;2448;russian 1%," armenian 99%;Yerevan;copper;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1099;Gyumri;RUS;ARM;600;Kurdish 5%, armenian 95%;Shirak, Lori," Tavush;iron;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,
1100;Kapan;RUS;ARM;190;armenian 100%;Varots Zor," Syunik;copper;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Armenia;RUS;;0;Armenian 98.1%, Kurdish 1.1%, russian 0.7%;3238;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
"2244;Christmas Island;AST;AST;2;chinese 100%;Christmas Island;fish;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2406;Cocos Islands;AST;AST;1;malay 100%;Cocos Islands;fish;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468;Sydney;AST;AST;4667;jewish 3%, chinese 1%, indian 1%," white_anglo 95%;New South Wales;coal;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,
"2469;Newcastle;AST;AST;850;white_anglo 100%;New South Wales;coal;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2470;Port Macquarie;AST;AST;597;white_anglo 100%;New South Wales;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2471;Ophir;AST;AST;450;white_anglo 100%;New South Wales;coal;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472;Eden;AST;AST;673;white_anglo 100%;Canberra," Wollongong;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2473;Wagga Wagga;AST;AST;158;white_anglo 100%;New South Wales;copper;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2474;Moree;AST;AST;130;white_anglo 100%;New South Wales;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475;Broken Hill;AST;AST;120;aborigine 20%," white_anglo 80%;New South Wales;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2476;Melbourne;AST;AST;4246;chinese 1%, indian 1%," white_anglo 98%;Victoria;coal;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,
"2477;Warmambool;AST;AST;297;white_anglo 100%;Victoria;wool;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2478;Ballarat;AST;AST;350;white_anglo 100%;Victoria;wool;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2479;Sale;AST;AST;250;white_anglo 100%;Victoria;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2480;Beechworth;AST;AST;220;white_anglo 100%;Victoria;other_minerals;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2481;Swan Hill;AST;AST;240;white_anglo 100%;Victoria;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2482;Tasmania;AST;AST;512;white_anglo 100%;Tasmania;iron;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483;Brisbane;AST;AST;3380;chinese 1%, indian 1%," white_anglo 98%;Queensland;copper;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,
"2484;Gladstone;AST;AST;660;white_anglo 100%;Queensland;wool;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2485;Clermont;AST;AST;20;white_anglo 100%;Queensland;copper;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2486;Toowoomba;AST;AST;20;white_anglo 100%;Queensland;cattle;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2487;Townsville;AST;AST;380;white_anglo 100%;Queensland;other_minerals;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2488;Cooktown;AST;AST;40;white_anglo 100%;Queensland;bauxite;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2489;Longreach;AST;AST;20;white_anglo 100%;Queensland;cattle;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490;Charleville;AST;AST;20;aborigine 25%," white_anglo 75%;Queensland;cattle;20;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2491;Adelaide;AST;AST;1277;chinese 1%, indian 1%," white_anglo 98%;South Australia;wool;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,
"2492;Port Lincolon;AST;AST;30;white_anglo 100%;South Australia;iron;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2493;Robe;AST;AST;250;white_anglo 100%;South Australia;wool;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2494;Port Augusta;AST;AST;50;white_anglo 100%;South Australia;grain;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2495;Oodnadatta;AST;AST;30;white_anglo 100%;South Australia;wool;20;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496;Tarcoola;AST;AST;13;aborigine 80%," white_anglo 20%;South Australia;wool;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2497;Perth;AST;AST;1897;chinese 1%," white_anglo 99%;Western Australia;iron;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2498;Kojonup;AST;AST;454;white_anglo 100%;Western Australia;bauxite;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2499;Geraldton;AST;AST;36;white_anglo 100%;Western Australia;iron;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500;Kalgoorlie;AST;AST;18;aborigine 60%," white_anglo 40%;Western Australia;bauxite;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2501;Broome;AST;AST;10;aborigine 90%," white_anglo 10%;Western Australia;iron;20;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2502;Dampier;AST;AST;10;aborigine 70%," white_anglo 30%;Western Australia;iron;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2503;Wiluna;AST;AST;8;aborigine 100%;Western Australia;cattle;20;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2504;Esperance;AST;AST;7;white_anglo 100%;Western Australia;gold_silver;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505;Palmerston;AST;AST;136;aborigine 60%," white_anglo 40%;Northern Territory;grain;20;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2506;Tennant Creek;AST;AST;25;aborigine 79%," white_anglo 21%;Northern Territory;cattle;15;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2507;Alice Springs;AST;AST;47;aborigine 60%," white_anglo 40%;Northern Territory;cattle;20;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2508;Norfolk Island;AST;AST," NRI;2;white_anglo 100%;Norfolk Island;fish;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2601;Sandy Desert;AST;AST;2;aborigine 100%;Western Australia;iron;15;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2602;Roebourne;AST;AST;6;white_anglo 100%;Western Australia;iron;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603;Tanami;AST;AST;25;aborigine 80%," white_anglo 20%;Northern Territory;cattle;15;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2604;Normanton;AST;AST;20;white_anglo 100%;Queensland;bauxite;30;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605;Gibsons Desert;AST;AST;3;aborigine 30%," white_anglo 70%;Western Australia;grain;15;""oceania""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Australia;AST;;0;white_anglo 90.7%, jewish 0.5%, chinese 4.3%, indian 1.3%, indian_muslim 0.7%, sunni_arab 1.5%, aborigine 1%;22659;;;,,,,,,,,,,,,,,,,,,,,,,
"1398;Jambi;IDO;IDO;3092;indonesian 100%;Jambi;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1399;Palembang;NET;IDO;7450;indonesian 100%;South Sumatra;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1400;Inderagiri;IDO;IDO;2380;indonesian 100%;Riau;coal;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1401;Siak;IDO;IDO;3000;indonesian 100%;Riau;petroleum;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1402;Tanjungpinang;NET;IDO;1679;indonesian 100%;Riau Islands;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
