#tag;name;totpop;primary_culture;capital;percent_secularism;religion;government;literacy;complexity;millitary per capita;urbanization;colors
BUR;Burma;19488;burmese;Ava;0.75%;secularism;presidential_dictatorship;2.88%;-2,5;8,4;33;255-127-80
BRN;Burundi;2363;hutu:tutsi;Usumbura;0.50%;secularism;nationalist_dictatorship;0.30%;-3;2,1;10,9;
BYU;Buryatia;;buryat,russian;Chita;14.75%;secularism;proletarian_dictatorship;16.03%;-0,671825;5,3;73,8;205-205-193, communist255-0-0
CAM;Cambodia;4471;khmer;Phnom Penh;0.75%;secularism;absolute_monarchy;0.70%;-2,76098;8,6;20;153-50-204,communist240-128-128
CMR;Cameroon;4888;black_french,fula;Yaounde;1.50%;secularism;democracy;1.23%;-3,36252;0,7;52,1;123-104-238
CAN;Canada;14011;white_anglo,white_french;Ottawa;15.25%;secularism;hms_government;15.00%;0,98799;2;80,7;255-228-225
CPV;Cape Verde;146;black_portuguese;Cape Verde;4.25%;secularism;proletarian_dictatorship;1.98%;-3;2,8;62,6;
CAT;Catalonia;;catalan,white_spanish;Barcelona;13.75%;secularism;hms_government;14.85%;-0,32302;2,6;77,4;238-232-170
CYI;Cayman Islands;6;white_anglo;Cayman Islands;19.00%;secularism;hms_government;9.75%;0,46008;3,1;79,6;
CAR;Central African Republic;1260;black_french,baya-mandjia;Bangui;0.25%;secularism;democracy;0.48%;-3;0,5;39,1;
CHA;Chad;2608;black_french,sara;Massenya;1.75%;secularism;democracy;0.23%;-3;2,5;21,8;
CHC;Chechnya;;chechen;Grozny;14.75%;secularism;proletarian_dictatorship;3.50%;-0,671825;5,3;73,8;0-100-0,communist255-0-0
CHL;Chile;6091;white_spanish;Santiago;6.75%;secularism;democracy;9.38%;-1,259444;3,6;89,2;147-112-219
CHS;Chin State;;chin;Sittwe;0.75%;secularism;presidential_dictatorship;1.68%;-2,5;8,4;33;
CHI;China;562580;chinese;Yenan;20.50%;secularism;proletarian_dictatorship;1%;-2,53555;1,7;13,7;255-165-0
CHU;Chuvashia;;chuvash,russian;Simbirsk;14.75%;secularism;proletarian_dictatorship;16.03%;-0,671825;5,3;73,8;131-139-131, communist255-0-0
CIR;Circassia;;circassians,russian;Adygei;14.75%;secularism;democracy;16.03%;-0,671825;5,3;73,8;
CIS;Ciskei;;xhosa;Bisho;5.00%;secularism;populist_dictatorship;1.15%;-1,061362;1,3;62;
CLM;Colombia;11592;white_spanish,mestizo;Bogota;3.25%;secularism;democracy;5.83%;-1,214399;9,5;75,3;
COM;Comoros;148;comore;Comoros;0.25%;secularism;democracy;0.28%;-3;0;28;
CNG;Congo Free State;13569;black_french,lingala,bakongo,mongo;Kinshasa;1.25%;secularism;democracy;1.23%;-2,5;4,8;34,3;139-119-101
COI;Cook Islands;15;polynesian;Rarotonga;16.75%;secularism;hms_government;5.73%;-0,9122;2,3;86,2;
COR;Corsica;;corsican,french;Corsica;19.50%;secularism;democracy;13.38%;0,538;2,2;85,2;
COS;Costa Rica;867;white_spanish,mestizo;San Jose;4.25%;secularism;democracy;4.00%;-2,16427;4,1;64,7;
CRI;Crimea;;russian;Sevastopol;14.75%;secularism;democracy;10.83%;-0,671825;5,3;73,8;
CRO;Croatia;4000;croat;Zagreb;7.25%;secularism;proletarian_dictatorship;9.58%;-0,807021;4,3;57,8;135-206-250,  communist153-50-204
CUB;Cuba;5785;white_spanish;Havana;16.00%;secularism;democracy;6.05%;-2,437819;11,1;75,5;255-0-0
CUR;Curacao;101;dutch,black_dutch;Curacao;16.25%;secularism;hms_government;5.45%;-0,12892;2,2;83,2;
CYP;Cyprus;494;greek;Nicosia;6.50%;secularism;democracy;5.00%;-1;2,5;70,5;
CZH;Czechoslovakia;15705;czech,slovak;Prague;18.00%;secularism;proletarian_dictatorship;7.45%;0,05234;0,8;73,4;65-105-225, communist250-128-114
DAG;Dagestan;;avar,dargwa,kalmyk,russian;Kizylyar;14.75%;secularism;proletarian_dictatorship;7.73%;-0,671825;5,3;73,8;
DAI;Dai Viet;12348;vietnamese;Hanoi;11.00%;secularism;proletarian_dictatorship;2.43%;-2,215529;5,4;31;255-20-147
DAR;Darfur;;fur;Fasher;2.25%;secularism;presidential_dictatorship;1.73%;-2,89062;2,7;33,2;
DEN;Denmark;4271;danish;Copenhagen;20.75%;secularism;hms_government;14.73%;0,06246;3,4;86,9;
DJI;Djibouti;79;afar;Djibuti;0.75%;secularism;democracy;0.23%;-3;11,3;77,1;
DMC;Dominica;51;black_anglo;Dominica;2.50%;secularism;democracy;5.73%;-1,2;0;67,1;
DOM;Dominican Republic;2353;white_spanish,mestizo;Santo Domingo;3.50%;secularism;presidential_dictatorship;5.73%;-2,161183;2,5;69,7;255-222-173
ECA;East Caprivi;;lozi;Linyati;5.00%;secularism;populist_dictatorship;1.23%;-1,061362;1,3;62;
DDR;East Germany;;german;Pritzwalk;15.50%;secularism;proletarian_dictatorship;11.55%;0,75528;2,2;73,9;139-134-130,communist255-99-71
TIM;East Timor;436;ambon-timor;Dili;1.00%;secularism;democracy;0.43%;-3;1,3;28,3;
ETS;East Turkestan;3200;uighur;Ili;20.50%;secularism;proletarian_dictatorship;1.88%;-1,23555;1,7;53,7;176-196-222,communist255-160-0
EAI;Easter Island;;polynesian;Easter Island;13.50%;secularism;democracy;9.40%;-1,605049;8,1;53,6;
ECU;Ecuador;3370;white_spanish,mestizo;Quito;0.50%;secularism;democracy;1.73%;-2,237469;4;67,5;221-160-221
EGY;Egypt;21198;sunni_arab;Cairo;1.00%;secularism;hms_government;1.40%;-1,64477;5,6;43,5;
ELS;El Salvador;1940;mestizo;San Salvador;3.25%;secularism;presidential_dictatorship;4.38%;-2,343924;2,2;64,8;
EQG;Equatorial Guinea;211;black_spanish,fang;Fernando Po;2.50%;secularism;democracy;0.68%;-3;2,1;39,5;250-235-215
ERI;Eritrea;1403;tigray,tigre;Asmara;2.50%;secularism;presidential_dictatorship;0.43%;-1;33,1;21,3;
EST;Estonia;1096;estonian;Reval;19.50%;secularism;proletarian_dictatorship;14.38%;-1,153567;4,4;69,5;135-206-250, communist255-0-0
ETH;Ethiopia;20175;amhara,tigray;Gonder;2.50%;secularism;absolute_monarchy;0.40%;-2,63063;1,6;17;176-196-222, communist255-69-0
FAR;Faroe Islands;32;faroe,danish;Faroe Islands;15.50%;secularism;hms_government;12.18%;-1;0;84,7;
FIJ;Fiji;287;polynesian;Fiji;3.75%;secularism;democracy;5.43%;-1,5;3,7;52,2;
FIN;Finland;4009;finnish,swedish;Helsinki;17.25%;secularism;democracy;17.60%;0,38347;4,2;83,7;
FLA;Flanders;;flemish;Antwerp;17.00%;secularism;hms_government;14.25%;0,07035;3,3;97,5;
FRA;France;42518;french,german,breton,white_french;Paris;18.50%;secularism;democracy;13.40%;0,9592;3,4;85,8;
FVG;Friuli-Venezia Giulia;;italian,romansh;Trieste;7.50%;secularism;democracy;12.48%;-0,02114;3;68,4;
GAB;Gabon;416;black_french,fang;Libreville;1.00%;secularism;democracy;2.10%;-1,966775;3,1;86,2;
GAG;Gagauzia;;gagauz,romanian;Chisinau;5.25%;secularism;democracy;5.93%;-1,332522;1,2;47,7;
GAL;Galicia;;portuguese,white_spanish;La Coruna;13.75%;secularism;hms_government;14.93%;-0,32302;2,6;77,4;
GAM;Gambia;271;white_anglo,mande;Banjul;1.00%;secularism;democracy;0.43%;-2;0,4;57,3;
GAZ;Gaza;245;sunni_arab;Gaza;1.25%;sunni;theocracy;3.40%;-2,5;0;74,3;
GZA;Gazankulu;;tsonga;Thohoyandu;5.00%;secularism;populist_dictatorship;0.78%;-1,061362;1,3;62;230-230-250
GEO;Georgia;3516;georgian;Tblisi;3.75%;secularism;proletarian_dictatorship;8.63%;-0,938735;8,4;52,8;139-131-120, communist255-0-0
GER;Germany;58420;german;Kreuznach;15.50%;secularism;democracy;11.58%;0,95528;2,2;73,9;
GHA;Ghana;5297;black_anglo,akan;Accra;1.00%;secularism;democracy;0.83%;-2,5859;0,6;51,9;
GIB;Gibraltar;23;white_anglo,white_spanish;Gibraltar;19.00%;secularism;hms_government;13.25%;0,46008;3,1;79,6;
GOB;Gorno-Badakhshan;;pamir;Khorug;2.75%;secularism;democracy;10.28%;-2,073249;1,2;26,5;
GRE;Greece;7566;greek;Athens;6.00%;secularism;hms_government;10.58%;-1,147413;13,4;61,4;
GRN;Greenland;22;inuit,danish;Nuuk;15.50%;secularism;hms_government;12.18%;-1;0;84,7;
GRD;Grenada;76;black_anglo;Grenada;6.00%;secularism;hms_government;4.00%;-1;0;39,1;
GGX;Guangxi;;zhuang,chinese;Nanning;20.50%;secularism;proletarian_dictatorship;1.78%;-1,23555;1,7;53,7;153-50-204,communist255-160-0
GUA;Guatemala;2969;white_spanish,mestizo;Guatemala;2.50%;secularism;democracy;2.10%;-2,485698;1,1;49,8;0-206-209
GUI;Guinea;2586;black_anglo,fula;Boffa;0.50%;secularism;democracy;0.30%;-2,89932;1,2;35,4;
GUB;Guinea Bissau;573;black_portuguese,balanta;Bissau;1.00%;secularism;democracy;0.10%;-3;2,9;43,9;
GUY;Guyana;428;black_anglo;Georgetown;2.75%;secularism;democracy;2.45%;-3;1,5;28,4;
HAI;Haiti;3097;black_french;Port Au Prince;2.00%;secularism;democracy;3.73%;-3;0;53,4;
HZB;Herceg-Bosa;;croat;Mostar;9.50%;secularism;presidential_dictatorship;7.10%;-1,30036;2,1;48,3;
HON;Honduras;1431;white_spanish,mestizo;Comayagua;3.25%;secularism;democracy;3.68%;-2,71554;1,5;52,2;
HKG;HongKong;2237;chinese_cantonese;Hong Kong;18.50%;secularism;hms_government;8.88%;-0,934616;0;100;
HUN;Hungary;9338;hungarian;Budapest;15.75%;secularism;proletarian_dictatorship;10.00%;-0,41178;2,3;69,5;0-100-0, communist255-160-122
ICL;Iceland;143;icelandic;Iceland;15.00%;secularism;democracy;12.18%;-1;0;93,7;
HND;India;369880;indian;Delhi;2.25%;secularism;democracy;1%;-1,347095;1,1;31,3;
IDO;Indonesia;82978;indonesian;Yogyakarta;0.25%;secularism;democracy;3.65%;-1,5465448;1,2;50,7;46-139-87
IGU;Ingushetia;;ingush;Gunib;14.75%;secularism;democracy;3.65%;-0,671825;5,3;73,8;
IMN;Inner Mongolia;500;mongol,chinese;Guihua Tumed;20.50%;secularism;proletarian_dictatorship;1.78%;-1,23555;1,7;53,7;255-248-220,communist255-165-0
IRQ;Iraq;5163;sunni_arab;Baghdad;3.75%;secularism;hms_government;3.40%;-1;9,4;66,5;240-230-140,fascist139-125-107
IRE;Ireland;2932;irish;Dublin;13.25%;secularism;democracy;11.88%;0,07258;2,1;62,2;
IOM;Isle of Man;55;white_anglo;Isle of Man;19.00%;secularism;hms_government;11.88%;0,46008;3,1;79,6;
ISR;Israel;1286;jewish;Jaffa;13.50%;secularism;democracy;13.18%;-0,24874;22,2;91,9;
ITA;Italy;47105;italian;Rome;7.50%;secularism;hms_government;12.48%;-0,02114;3;68,4;
ITU;Ituri;;nyakole;Mungbane;1.25%;secularism;presidential_dictatorship;0.20%;-2,5;48,5;34,3;
IVC;Ivory Coast;2860;akan;Bouake;3.00%;secularism;democracy;0.80%;-2,69945;2,1;53,7;238-233-233
JAM;Jamaica;1385;black_anglo;Jamaica;7.25%;secularism;hms_government;4.10%;-2,310932;1;52;
JAK;Jammu and Kashmir;5249;indian_muslim,indian;Srinagar;1.00%;secularism;absolute_monarchy;2.63%;-1,5465448;1,2;50,7;72-61-139
JAP;Japan;83805;japanese;Edo;17.75%;secularism;hms_government;11.90%;0,85193;1,9;91,3;255-191-191
JDO;Jeju-do;;korean;Cheju;13.00%;secularism;democracy;11.90%;-0,40823;0;91;
JER;Jersey;57;white_anglo;Channel Islands;19.00%;secularism;hms_government;14.75%;0,46008;3,1;79,6;
JOR;Jordan;561;sunni_arab;Amman;1.00%;secularism;absolute_monarchy;7.15%;-1,033288;16;82,7;0-100-0
KAB;Kabardino-Balkaria ;;russian;Derbent;14.75%;secularism;proletarian_dictatorship;10.28%;-0,671825;5,3;73,8;176-196-222,communist255-0-0
KAC;Kachin;;kachin;Putao;0.75%;secularism;presidential_dictatorship;0.68%;-2,5;8,4;33;
KAM;Kalmykia ;;kalmyk,russian;Elitsa;14.75%;secularism;proletarian_dictatorship;10.28%;-0,671825;5,3;73,8;238-238-224, communist255-0-0
NGW;KaNgwane;;swazi;Lydenburg;5.00%;secularism;populist_dictatorship;0.68%;-1,061362;1,3;62;
KCH;Karachay-Cherkessia ;;karachay,russian;Pyatigorsk;14.75%;secularism;proletarian_dictatorship;10.28%;-0,671825;5,3;73,8;176-196-222,communist255-0-0
KKP;Karakalpakstan;;karakalpak;Nukus;4.50%;secularism;democracy;10.28%;-2,183509;4,5;48,7;
KRL;Karelia ;;finnish,russian;Kostomushka;14.75%;secularism;proletarian_dictatorship;15.43%;-0,671825;5,3;73,8;240-248-255, communist255-0-0
KAY;Kayin;;karen;Toungoo;0.75%;secularism;presidential_dictatorship;0.68%;-2,5;8,4;33;
KAZ;Kazakhstan;6693;kazak,russian;Alma Ata;11.25%;secularism;proletarian_dictatorship;7.73%;-1,4861272;3,2;53,6;64-224-208,communist255-0-0
KEN;Kenya;6121;kikuyu,kalenjin;Nairobi;0.75%;secularism;democracy;0.75%;-2,490059;0,6;24;
KIR;Kiribati;33;polynesian;Gilbert Islands;4.50%;secularism;democracy;4.10%;-2,5;1,4;43,9;
KMT;Republic of China;7981;chinese;Nanjing;10.50%;secularism;democracy;1%;-2,573249;12,6;13;
KOM;Komi ;;komi,russian;Usogorsk;14.75%;secularism;proletarian_dictatorship;15.43%;-0,671825;5,3;73,8;238-233-233, communist255-0-0
KOS;Kosovo;;albanian;Pristina;2.25%;secularism;proletarian_dictatorship;3.98%;-1;0;56;139-134-130,  communist 153-50-204
SRK;Krajina;;serb;Senj;9.50%;secularism;presidential_dictatorship;7.35%;-1,30036;2,1;48,3;
KYR;Kyrgyzstan;1739;kirgiz;Bishkek;9.00%;secularism;proletarian_dictatorship;10.28%;-1,5600967;2;35,3;65-105-225,communist 255-0-0 
KUR;Kurdistan;;kurdish;Khvoy;3.25%;secularism;democracy;3.33%;-1,287659;8,7;71,5;
KUW;Kuwait;145;sunni_arab;Kuwait;0.50%;secularism;hms_government;5.28%;-2,098712;5,8;98,3;
NDB;KwaNdebele;;nguni;Lydenburg;5.00%;secularism;populist_dictatorship;3.33%;-1,061362;1,3;62;255-228-196
LAT;Latvia;1936;latvian;Riga;14.50%;secularism;proletarian_dictatorship;15.28%;-1,399771;2,1;67,7;238-229-222, communist255-0-0
LEB;Lebanon;1364;christian_arab;Beirut;3.25%;secularism;democracy;10.58%;-1,4879924;14,7;87,2;230-230-250
LBW;Lebowa;;sepedi;Mosega;5.00%;secularism;populist_dictatorship;0.53%;-1,061362;1,3;62;255-215-0
LES;Lesotho;726;sotho;Thaba Bosiu;1.75%;secularism;absolute_monarchy;0.65%;-2,5;0,9;27,6;
LIB;Liberia;824;black_anglo:black_anglo;Monrovia;1.75%;secularism;presidential_dictatorship;0.70%;-2,473432;0,7;48,2;
LIT;Lithuania;2553;lithuanian;Vilnius;13.00%;secularism;proletarian_dictatorship;13.13%;-1,356395;3;67,1;238-232-170, communist255-0-0
LUA;Luang Prabang;1886;lao;Luangprabang;0.75%;secularism;absolute_monarchy;1.13%;-2,63154;4,3;34,3;238-232-170,communist255-105-180
LUX;Luxemburg;296;german,french;Luxembourg;16.00%;secularism;hms_government;12.50%;0;1,8;85,4;139-136-120
MCA;Macau;205;chinese_cantonese,white_portuguese;Macao;16.00%;secularism;hms_government;13.05%;-1;0;100;
MAC;Macedonia;1225;bulgarian;Skopje;5.75%;secularism;proletarian_dictatorship;6.10%;-1,725418;3,9;59,3;220-220-220,  communist 153-50-204
MAD;Madagascar;4620;merida;Tananarive;1.75%;secularism;democracy;0.55%;-2,89507;0,7;32,6;193-205-193
MAE;Madeira;;portuguese;Madeira;8.25%;secularism;democracy;13.85%;-0,890684;4;61,1;
MGY;Magyar Region;;hungarian;Targu Mures;4.25%;secularism;democracy;6.93%;-0,921521;3,3;52,8;
MLW;Malawa;2340;chewa;Zomba;0.25%;secularism;democracy;0.08%;-3,38357;0,4;15,7;
MSY;Malaysia;6434;malay;Kuala Lumpur;2.50%;secularism;hms_government;5.70%;-0,885969;4,2;72,8;95-15-160 
MLD;Maldives;79;indian_muslim;Maldives;0.50%;secularism;hms_government;2.85%;-2,5;0;41,2;
MLI;Mali;3688;black_french,mande;Bamako;0.75%;secularism;democracy;0.48%;-1,920333;0,5;34,9;
MAL;Malta;312;maltese;Malta;3.50%;secularism;hms_government;5.38%;-1;4,8;94,8;
MRI;Mari El ;;mari,russian;Chistopol;14.75%;secularism;proletarian_dictatorship;13.05%;-0,671825;5,3;73,8;238-238-224, communist255-0-0
MAR;Marshall Islands;11;micronesian;Marshall Islands;3.50%;secularism;democracy;5.93%;-1,5;0;71,8;
MAU;Mauritania;1006;sunni_arab;Nouakchott;0.50%;secularism;democracy;0.93%;-2,477348;5,1;41,5;
MRT;Mauritius;481;indian,black_french;Mauritius;5.25%;secularism;democracy;2.85%;-2,437869;0;41,8;
MEX;Mexico;28485;white_spanish,mestizo;Mexico City;11.00%;secularism;presidential_dictatorship;3.18%;-0,630343;2,5;78,1;0-100-0
MIC;Micronesia;109;micronesian;Ponape;5.25%;secularism;democracy;5.50%;-1,5;0;22,6;135-206-250
MIN;Mindanao;;moro;Zamboanga;1.50%;secularism;democracy;7.80%;-1,676072;1,3;48,8;
MOL;Moldavia;2336;romanian;Chisinau;5.25%;secularism;proletarian_dictatorship;6.98%;-1,332522;1,2;47,7;245-222-179, communist255-0-0
MOS;Mon State;;mon;Moulmein;0.75%;secularism;presidential_dictatorship;0.68%;-2,5;8,4;33;
MGL;Mongolia;779;mongol;Urga;12.50%;secularism;proletarian_dictatorship;8.33%;-2,345786;3,3;68,5;255-248-220, communist240-128-128
MON;Montenegro;396;serb;Cetinje;9.50%;secularism;proletarian_dictatorship;7.60%;0;4,4;63,3;
MRD;Mordovia;;mordovian,russian;Penza;14.75%;secularism;proletarian_dictatorship;6.98%;-0,671825;5,3;73,8;238-223-204, communist255-0-0
MOR;Morocco;9343;sunni_arab;Rabat;1.50%;secularism;hms_government;2.58%;-2,076761;6,3;57;
MOZ;Mozambique;6250;black_portuguese,tsonga;Maputo;3.25%;secularism;proletarian_dictatorship;0.15%;-1,698316;0,5;31,2;
NAK;Nagorno-Karabakh;;armenian;Agdam;5.25%;secularism;democracy;5.05%;-1,605049;8,1;53,6;255-20-147, communist 255-99-71
NKH;Nakhichevan;;azerbaijani;Nakhichevan;13.50%;secularism;democracy;5.05%;-1,605049;8,1;53,6;
NAM;Namibia;464;ovambo;Windhoek;2.00%;secularism;democracy;1.48%;-1,5;4,4;38,4;
NAU;Nauru;3;micronesian;Nauru;5.25%;secularism;democracy;1.48%;-1,5;0;100;106-90-205
NEP;Nepal;8990;nepali;Katmandu;1.25%;secularism;absolute_monarchy;1.15%;-1,5;3,4;31;248-248-255
NET;Netherlands;10121;dutch;Amsterdam;16.25%;secularism;hms_government;13.75%;0,92892;2,2;83,2;
NCA;New Caledonia;55;white_french,kanak;New Caledonia;18.50%;secularism;democracy;13.75%;0,9592;3,4;85,8;
NZL;New Zealand;1908;white_anglo,maori;Wellington;16.75%;secularism;hms_government;17.30%;-0,9122;2,3;86,2;70-130-180
NIC;Nicaragua;1098;white_spanish,mestizo;Managua;4.75%;secularism;presidential_dictatorship;2.88%;-2,82059;2;57,5;
NIG;Niger;3271;black_french,zarma,hausa;Niamey;0.50%;secularism;democracy;0.38%;-1,5;0,3;17,8;
NGE;Nigeria;31797;black_anglo,hausa,yoruba,fula,ibo;Abuja;4.75%;secularism;democracy;1.08%;-2,90428;0,5;49,6;
NGX;Ningxia;;hui,chinese;Ningxia;20.50%;secularism;proletarian_dictatorship;1.28%;-1,23555;1,7;53,7;245-222-179,communist255-160-0
NIU;Niue;44;polynesian;Niue;16.75%;secularism;hms_government;14.75%;-0,9122;2,3;86,2;
NRI;Norfolk Island;;white_anglo;Norfolk Island;16.75%;secularism;hms_government;12.25%;-0,9122;2,3;86,2;176-196-222
NKO;North Korea;9471;korean;Pyongyang;13.00%;secularism;proletarian_dictatorship;9.48%;-1,5;0;60,3;255-127-80
NOS;North Ossetia;;ossetian,russian;Vladikavkaz;14.75%;secularism;proletarian_dictatorship;7.43%;-0,671825;5,3;73,8;245-222-179,communist255-0-0
NMI;Northern Mariana Islands;;polynesian;Saipan;9.00%;secularism;democracy;12.00%;0,44247;4,4;92,5;135-206-250
NCY;Northern Cyprus;;turkish;Famagusta;5.25%;secularism;democracy;3.83%;-2,5;0;70;
NIR;Northern Ireland;;white_anglo;Belfast;20.50%;secularism;hms_government;14.50%;-1,136524;7;82,4;
NOR;Norway;3265;norwegian;Christiania;19.50%;secularism;hms_government;17.50%;-0,641343;5,2;79,4;
OMA;Oman;489;ibad_arab;Muscat;0.50%;secularism;absolute_monarchy;2.13%;-1,708679;12,5;73,4;
TUR;Ottoman Empire;21122;turkish;Ankara;3.25%;secularism;presidential_dictatorship;3.83%;-1,287659;8,7;71,5;
PAK;Pakistan;40382;indian_muslim;Karachi;1.00%;secularism;democracy;2.50%;-2,295822;3,7;36,2;0-100-0
PAU;Palau;7;micronesian;Palau;3.75%;secularism;democracy;5.50%;-2,5;0;84,2;
PAL;Palestine;1845;sunni_arab;Jerusalem;1.25%;secularism;democracy;1.40%;-2,5;0;74,3;
PNM;Panama;893;mestizo;Panama City;2.75%;secularism;democracy;8.73%;-1,742967;0;75,3;
PAP;Papal States;;italian;Rome;0.50%;secularism;absolute_monarchy;12.25%;-1,5;130,6;100;
PPN;Papua New Guinea;1412;papua;Port Moresby;1.50%;secularism;hms_government;0.58%;-2,86825;0,5;12,5;153-50-204
PRG;Paraguay;1476;white_spanish,mestizo;Asuncion;2.50%;secularism;democracy;2.53%;-1,952485;1,5;61,9;
PER;Persia;16357;persian;Tehran;2.00%;shiite;absolute_monarchy;3.75%;-2,099349;7,9;69,1;189-183-107
